 (Half Day),（半天）
"<h4>Default Template</h4>
<p>Uses <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a> and all the fields of Address (including Custom Fields if any) will be available</p>
<pre><code>{{ address_line1 }}&lt;br&gt;
{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}
{{ city }}&lt;br&gt;
{% if state %}{{ state }}&lt;br&gt;{% endif -%}
{% if pincode %} PIN:  {{ pincode }}&lt;br&gt;{% endif -%}
{{ country }}&lt;br&gt;
{% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%}
{% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%}
{% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}
</code></pre>","<h4>默认模板</h4>
<p>使用 <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja 模板引擎</a> 地址的所有字段(包括自定义字段)都可用</p>
<pre><code>{{ address_line1 }}&lt;br&gt;
{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}
{{ city }}&lt;br&gt;
{% if state %}{{ state }}&lt;br&gt;{% endif -%}
{% if pincode %} 邮编:  {{ pincode }}&lt;br&gt;{% endif -%}
{{ country }}&lt;br&gt;
{% if phone %}电话: {{ phone }}&lt;br&gt;{% endif -%}
{% if fax %}传真: {{ fax }}&lt;br&gt;{% endif -%}
{% if email_id %}邮件: {{ email_id }}&lt;br&gt;{% endif -%}
</code></pre>"
A Customer Group exists with same name please change the Customer name or rename the Customer Group,客户群组存在具有相同名称;请更改客户姓名或重命名客户群组
A Customer exists with same name,存在具有相同的顾客姓名
A Lead with this email id should exist,一个有同样邮件地址的销售机会存在
A Product or Service,产品或服务
A Supplier exists with same name,存在具有相同名称的供应商
A symbol for this currency. For e.g. $,货币符号.例如美元是$
AMC Expiry Date,年度维护合同到期时间
Abbr,缩写
Abbreviation cannot have more than 5 characters,缩写不能超过5个字符
Above Value,大于值
Absent,缺席
Acceptance Criteria,验收标准
Accepted,已接受
Accepted + Rejected Qty must be equal to Received quantity for Item {0},物品{0}接受+拒绝的数量必须等于接收到的数量
Accepted Quantity,合格数量
Accepted Warehouse,合格品存放仓库
Account,账户
Account Balance,账户余额
Account Created: {0},帐户被创建: {0}
Account Details,帐户明细
Account Head,户头
Account Name,帐户名称
Account Type,账户类型
"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'",帐户余额已在贷方，此处不允许设置'余额必须是'为'借方'
"Account balance already in Debit, you are not allowed to set 'Balance Must Be' as 'Credit'",帐户余额已在借方，此处不允许设置'余额必须是'为'贷方'
Account for the warehouse (Perpetual Inventory) will be created under this Account.,在此账户下将创建此仓库的账户（永续盘存制）
Account head {0} created,户头{0}已创建
Account must be a balance sheet account,帐户必须是资产负债表类账户
Account with child nodes cannot be converted to ledger,账户与子节点不能转换为总分类帐
Account with existing transaction can not be converted to group.,帐户与现有的事务不能被转换为组。
Account with existing transaction can not be deleted,帐户与现有的交易不能被删除
Account with existing transaction cannot be converted to ledger,帐户与现有的事务不能被转换为总分类账
Account {0} cannot be a Group,帐户{0}不能为一个组
Account {0} does not belong to Company {1},帐户{0}不属于公司{1}
Account {0} does not belong to company: {1},帐户{0}不属于公司:{1}
Account {0} does not exist,帐户{0}不存在
Account {0} has been entered more than once for fiscal year {1},帐户{0}已被多次输入年度会计{1}
Account {0} is frozen,帐户{0}被冻结
Account {0} is inactive,帐户{0}是未激活的
Account {0} is not valid,帐户{0}是无效的
Account {0} must be of type 'Fixed Asset' as Item {1} is an Asset Item,帐户{0}的类型必须为'固定资产'因为{1}是一个资产类项
Account {0}: Parent account {1} can not be a ledger,帐户{0}：父帐户{1}不能是分类账
Account {0}: Parent account {1} does not belong to company: {2},帐户{0}:其父帐户{1}不属于公司:{2}
Account {0}: Parent account {1} does not exist,帐户{0}:父帐户{1}不存在
Account {0}: You can not assign itself as parent account,帐户{0}：不能将自身设置为父帐户
"Account: {0} can only be updated via \
					Stock Transactions","帐号：\
{0}只能通过库存交易更新"
Accountant,会计人员
Accounting,会计账目
"Accounting Entries can be made against leaf nodes, called",组节点是不能进行录入的
"Accounting entry frozen up to this date, nobody can do / modify entry except role specified below.",会计分录冻结截至此时间;除以下指定角色外没有人可以操作/修改条目。
Accounting journal entries.,会计分类账
Accounts,财会
Accounts Browser,帐户浏览
Accounts Frozen Upto,账户被冻结到
Accounts Payable,应付帐款
Accounts Receivable,应收帐款
Accounts Settings,账户设置
Active,有效的
Active: Will extract emails from ,有效的:将从邮件中提取
Activity,活动日志
Activity Log,活动日志
Activity Log:, 活动日志:
Activity Type,作业类型
Actual,实际的
Actual Budget,实际预算
Actual Completion Date,实际完成日期
Actual Date,实际日期
Actual End Date,实际结束日期
Actual Invoice Date,实际发票日期
Actual Posting Date,实际发布日期
Actual Qty,实际数量
Actual Qty (at source/target),实际的数量（源/目标）
Actual Qty After Transaction,交易后实际数量
Actual Qty: Quantity available in the warehouse.,实际的数量:在仓库可用数量。
Actual Quantity,实际数量
Actual Start Date,实际开始日期
Add,增加
Add / Edit Taxes and Charges,添加/编辑税金及费用
Add Child,添加子项
Add Serial No,添加序列号
Add Taxes,添加税金
Add Taxes and Charges,增加税金和收费
Add or Deduct,增加或减少
Add rows to set annual budgets on Accounts.,添加行来设置帐户年度预算
Add to Cart,添加到购物车
Add to calendar on this date,添加到日历的此日期上
Add/Remove Recipients,添加/移除 收件人
Address,地址
Address & Contact,地址及联系方式
Address & Contacts,地址及联系方式
Address Desc,地址倒序
Address Details,详细地址
Address HTML,地址HTML
Address Line 1,地址行1
Address Line 2,地址行2
Address Template,地址模板
Address Title,地址所属单位名称
Address Title is mandatory.,地址所属单位名称是必填的
Address Type,地址类型
Address master.,地址基础数据
Administrative Expenses,行政费用
Administrative Officer,行政官
Advance Amount,预付款金额
Advance amount,预付款金额
Advances,预付款
Advertisement,广告
Advertising,广告
Aerospace,航天
After Sale Installations,销售后安装
Against,针对
Against Account,账户
Against Bill {0} dated {1},对于账单{0}而言日期为{1}
Against Docname,基于档案名称
Against Doctype,档案类型
Against Document Detail No,档案详情编号
Against Document No,档案编号
Against Expense Account,基于费用帐户
Against Income Account,基于收入账户
Against Journal Voucher,基于记帐凭证
Against Journal Voucher {0} does not have any unmatched {1} entry,对于记帐凭证{0}没有任何匹配到的{1}项
Against Purchase Invoice,基于采购发票
Against Sales Invoice,基于销售发票
Against Sales Order,基于销售订单
Against Voucher,对于凭证
Against Voucher Type,对于凭证类型
Ageing Based On,账龄日期基于
Ageing Date is mandatory for opening entry,期初分录的账龄日期是必须的
Ageing date is mandatory for opening entry,期初分录的账龄日期是必须的
Agent,代理
Aging Date,发票日期
Aging Date is mandatory for opening entry,期初分录的账龄日期是必须的
Agriculture,农业
Airline,航空公司
All Addresses.,所有地址。
All Contact,所有联系人
All Contacts.,所有联系人。
All Customer Contact,所有客户联系人
All Customer Groups,所有客户组
All Day,全天
All Employee (Active),所有员工(有效)
All Item Groups,所有组
All Lead (Open),所有潜在客户（开放的）
All Products or Services.,所有产品或服务
All Sales Partner Contact,所有销售伙伴联系人
All Sales Person,所有的销售人员
All Supplier Contact,所有供应商联系人
All Supplier Types,所有供应商类型
All Territories,所有的区域(分管区域)
"All export related fields like currency, conversion rate, export total, export grand total etc are available in Delivery Note, POS, Quotation, Sales Invoice, Sales Order etc.",像货币，转换率，进出口总额，出口总计等所有可以导出的项均在在发货单， POS机，报价单，销售发票，销售订单可体现出来
"All import related fields like currency, conversion rate, import total, import grand total etc are available in Purchase Receipt, Supplier Quotation, Purchase Invoice, Purchase Order etc.",像货币，转换率，总进口，进口总计等均可在入库单，供应商报价单，采购发票，采购订单等体现出来
All items have already been invoiced,所有项均已开具发票
All these items have already been invoiced,所有这些项均已开具发票
Allocate,分配
Allocate leaves for a period.,休假时间分配
Allocate leaves for the year.,分配当前年的假期
Allocated Amount,应付款
Allocated Budget,预算配额
Allocated amount,应付款
Allocated amount can not be negative,应付款不能为负
Allocated amount can not greater than unadusted amount,应付款不能超过预付款
Allow Bill of Materials,允许物料清单
Allow Bill of Materials should be 'Yes'. Because one or many active BOMs present for this item,允许物料清单应该设置为'是'.因此此项有一个或者多个有效的BOMs存在
Allow Children,允许儿童
Allow Dropbox Access,允许Dropbox的访问
Allow Google Drive Access,允许谷歌驱动器访问
Allow Negative Balance,允许负剩余
Allow Negative Stock,允许负库存
Allow Production Order,允许生产订单
Allow User,有权限的用户
Allow Users,有权限的用户
Allow the following users to approve Leave Applications for block days.,允许以下用户在禁止休假的日期批准假期
Allow user to edit Price List Rate in transactions,在交易中允许用户编辑价目表价格
Allowance Percent,允许百分比
Allowance for over-{0} crossed for Item {1},商品{1}的{0}的过界允许范围
Allowance for over-{0} crossed for Item {1}.,商品{1}的{0}的过界允许范围.
Allowed Role to Edit Entries Before Frozen Date,冻结期间允许编辑的角色
Amended From,更改源
Amount,总额
Amount (Company Currency),金额（公司货币）
Amount Paid,已支付的款项
Amount to Bill,帐单总额
An Customer exists with same name,一个客户存在具有相同名称
"An Item Group exists with same name, please change the item name or rename the item group",物品组存在具有相同名称，请更改物品名称或重命名的物品组
"An item exists with same name ({0}), please change the item group name or rename the item",存在具有相同名称的物品({0}) 请更改物品组名或重命名物品名
Analyst,分析员
Annual,全年
Another Period Closing Entry {0} has been made after {1},在{1}之后另一个期末录入{0}已经完成
Another Salary Structure {0} is active for employee {0}. Please make its status 'Inactive' to proceed.,员工{0}的另一种薪酬结构{0}仍然是有效的状态 。请将其状态标记为'无效'。
"Any other comments, noteworthy effort that should go in the records.",任何其他意见包括值得注意的事项都应该在记录中
Apparel & Accessories,服装及配饰
Applicability,适用性
Applicable For,适用于
Applicable Holiday List,可用假期表
Applicable Territory,适用范围(区域)
Applicable To (Designation),适用于(指定)
Applicable To (Employee),适用于(员工)
Applicable To (Role),适用于(角色)
Applicable To (User),适用于(用户)
Applicant Name,申请人名称
Applicant for a Job.,工作申请人
Application of Funds (Assets),资产类科目
Applications for leave.,申请休假
Applies to Company,应用到公司
Apply On,应用于
Appraisal,绩效评估
Appraisal Goal,考核目标
Appraisal Goals,考核目标
Appraisal Template,评估模板
Appraisal Template Goal,考核目标
Appraisal Template Title,考核模板标题
Appraisal {0} created for Employee {1} in the given date range,员工在给定日期范围{1}的考核{0}已创建
Apprentice,学徒
Approval Status,审批状态
Approval Status must be 'Approved' or 'Rejected',审批状态必须是'批准'或'拒绝'
Approved,已批准
Approver,审批人
Approving Role,审批角色
Approving Role cannot be same as role the rule is Applicable To,审批角色与规则的角色不能相同
Approving User,正在审批的用户
Approving User cannot be same as user the rule is Applicable To,审批用户与规则的用户不能相同
Are you sure you want to STOP ,您确定要停止?
Are you sure you want to UNSTOP ,您确定要取消停止操作?
Arrear Amount,拖欠金额
"As Production Order can be made for this item, it must be a stock item.",生产订单可以为这个物品进行生产但前提是它必须是一个库存物品
As per Stock UOM,按库存计量单位
"As there are existing stock transactions for this item, you can not change the values of 'Has Serial No', 'Is Stock Item' and 'Valuation Method'",由于库存中的此物品存在交易因此你不能改变'物料编码';'是库存物品';'测量方法'等字段的值
Asset,资产
Assistant,助理
Associate,合伙人
Atleast one of the Selling or Buying must be selected,必须选择至少一个销售或采购
Atleast one warehouse is mandatory,至少得有一个仓库
Attach Image,上传图片
Attach Letterhead,上传信头
Attach Logo,上传Logo
Attach Your Picture,上传你的图片
Attendance,考勤
Attendance Date,考勤日期
Attendance Details,考勤详情
Attendance From Date,考勤起始日期
Attendance From Date and Attendance To Date is mandatory,考勤起始日期和结束日期是必填的
Attendance To Date,考勤结束日期
Attendance can not be marked for future dates,考勤不能标记为未来的日期
Attendance for employee {0} is already marked,员工{0}的考勤已打卡
Attendance record.,考勤记录
Authorization Control,授权控制
Authorization Rule,授权规则
Auto Accounting For Stock Settings,基于库存设定自动应用财务计算
Auto Material Request,自动生成物料需求
Auto-raise Material Request if quantity goes below re-order level in a warehouse,在一个仓库中，如果产品数量低于再订购水平的条件，则自动启动物料需求
Automatically compose message on submission of transactions.,在提交交易时自动写消息
Automatically extract Job Applicants from a mail box, 自动从邮箱里面提取出工作申请者
Automatically extract Leads from a mail box e.g.,自动从邮箱里提取出销售引子
Automatically updated via Stock Entry of type Manufacture/Repack,经由库存生产/重新包装的类型已经进行自动更新
Automotive,自动的
Autoreply when a new mail is received,在接收到新邮件时自动回复
Available,有效
Available Qty at Warehouse,仓库中可用数量
Available Stock for Packing Items,仓库中可用于打包的数量
"Available in BOM, Delivery Note, Purchase Invoice, Production Order, Purchase Order, Purchase Receipt, Sales Invoice, Sales Order, Stock Entry, Timesheet",在物料清单，发货单，采购发票，生产订单，采购订单，采购入库单，销售发票，销售订单，库存录入，时间表中均有体现
Average Age,平均年龄
Average Commission Rate,平均佣金率
Average Discount,平均折扣
Awesome Products,很好的产品
Awesome Services,很好的服务
BOM Detail No,物料清单详情编号
BOM Explosion Item,物料清单展开
BOM Item,物料清单物品
BOM No,物料清单（BOM）编号
BOM No. for a Finished Good Item,已完成的正品的物料清单编号
BOM Operation,物料清单的操作
BOM Operations,物料清单的操作
BOM Replace Tool,物料清单替换工具
BOM number is required for manufactured Item {0} in row {1},行{1}中的生产项{0}需要物料清单号
BOM number not allowed for non-manufactured Item {0} in row {1},行{1}的非生产产品{0}不允许输入物料清单号
BOM recursion: {0} cannot be parent or child of {2},物料清单递归: {0}不能为{2}的父项或子项
BOM replaced,被替换的物料清单
BOM {0} for Item {1} in row {2} is inactive or not submitted,行{2}的项{1}的物料清单{0}的是无效的或是未提交的物料清单
BOM {0} is not active or not submitted,物料清单{0}为无效的或是未提交的物料清单
BOM {0} is not submitted or inactive BOM for Item {1},物料清单{0}未提交或物品{1}的物料清单为无效状态
Backup Manager,备份管理器
Backup Right Now,现在进行备份
Backups will be uploaded to,备份将被上传到
Balance Qty,剩余数量
Balance Sheet,资产负债表
Balance Value,余额
Balance for Account {0} must always be {1},帐户{0}的余额必须等于{1}
Balance must be,余额方向
"Balances of Accounts of type ""Bank"" or ""Cash""",银行或者现金类型的账户余额
Bank,银行
Bank / Cash Account,银行/现金账户
Bank A/C No.,银行账户
Bank Account,银行帐户
Bank Account No.,银行账号
Bank Accounts,银行账户
Bank Clearance Summary,银行结算汇总
Bank Draft,银行汇票
Bank Name,银行名称
Bank Overdraft Account,透支帐户
Bank Reconciliation,银行对帐
Bank Reconciliation Detail,银行对帐明细
Bank Reconciliation Statement,银行核对单
Bank Voucher,银行凭证
Bank/Cash Balance,银行/现金结余
Banking,银行业务
Barcode,条码
Barcode {0} already used in Item {1},条码{0}已经用在物品{1}上
Based On,基于
Basic,基本的
Basic Info,基本信息
Basic Information,基本信息
Basic Rate,基础比率
Basic Rate (Company Currency),基础比率(公司货币)
Batch,批次
Batch (lot) of an Item.,一批某（大量）产品
Batch Finished Date,批次结束日期
Batch ID,批次
Batch No,批号
Batch Started Date,批次开始日期
Batch Time Logs for billing.,批量时间记录（计费）
Batch-Wise Balance History,商品批次余量历史记录
Batched for Billing,批量计费
Better Prospects,更好的前景
Bill Date,账单日期
Bill No,账单号码
Bill No {0} already booked in Purchase Invoice {1},账单号码{0}已经在采购发票{1}中入账
Bill of Material,物料清单
Bill of Material to be considered for manufacturing,物料清单将被用于生产
Bill of Materials (BOM),物料清单(BOM)
Billable,可收取费用
Billed,已结算
Billed Amount,账单金额
Billed Amt,已付金额
Billing,账单
Billing Address,帐单地址
Billing Address Name,帐单地址名称
Billing Status,帐单状态
Bills raised by Suppliers.,供应商账单
Bills raised to Customers.,客户账单
Bin,Bin
Bio,个人简介
Biotechnology,生物技术
Birthday,生日
Block Date,禁止日期
Block Days,禁止天数
Block leave applications by department.,按部门分配禁止休假日期
Blog Post,博客公告
Blog Subscriber,博客订阅用户
Blood Group,血型
Both Warehouse must belong to same Company,这两个仓库必须属于同一个公司
Box,箱
Branch,分公司
Brand,品牌
Brand Name,品牌名称
Brand master.,品牌基础数据
Brands,品牌
Breakdown,Breakdown
Broadcasting,广播
Brokerage,佣金
Budget,预算
Budget Allocated,分配的预算
Budget Detail,预算明细
Budget Details,预算明细
Budget Distribution,预算分配
Budget Distribution Detail,预算分配明细
Budget Distribution Details,预算分配明细
Budget Variance Report,预算差异报表
Budget cannot be set for Group Cost Centers,预算不能设置在组成本中心
Build Report,创建报表
Bundle items at time of sale.,捆绑销售
Business Development Manager,业务开拓经理
Buying,采购
Buying & Selling,采购与销售
Buying Amount,采购金额
Buying Settings,采购设置
"Buying must be checked, if Applicable For is selected as {0}",如果适用于选择为{0}则采购必须被勾选
C-Form,C-Form
C-Form Applicable,C-Form适用
C-Form Invoice Detail,C-Form发票明细
C-Form No,C-Form编号
C-Form records,C-Form记录
CENVAT Capital Goods,CENVAT资本
CENVAT Edu Cess,CENVAT教育税
CENVAT SHE Cess,CENVAT SHE Cess
CENVAT Service Tax,CENVAT服务税
CENVAT Service Tax Cess 1,CENVAT服务税附加税1
CENVAT Service Tax Cess 2,CENVAT服务税附加税2
Calculate Based On,基于下值计算:
Calculate Total Score,计算总分
Calendar Events,日历事件
Call,电话
Calls,电话
Campaign,促销活动
Campaign Name,促销活动名称
Campaign Name is required,促销活动名称是必需的
Campaign Naming By,促销活动命名方式
Campaign-.####,促销活动-.####
Can be approved by {0},可以通过{0}的批准
"Can not filter based on Account, if grouped by Account",如果是基于账户分组的话则不能基于账户过滤
"Can not filter based on Voucher No, if grouped by Voucher",如果基于记账凭证分组的话则不能基于基于记账凭证号过滤
Can refer row only if the charge type is 'On Previous Row Amount' or 'Previous Row Total',只有当charge type是'之前行金额'或'之前行值总和'才能引用到行
Cancel Material Visit {0} before cancelling this Customer Issue,取消这个客户问题之前取消物料造访{0}
Cancel Material Visits {0} before cancelling this Maintenance Visit,取消此保养访问之前取消物料造访{0}
Cancelled,已取消
Cancelling this Stock Reconciliation will nullify its effect.,取消盘点将抵消其影响
Cannot Cancel Opportunity as Quotation Exists,无法取消机会因为报价单已存在
Cannot approve leave as you are not authorized to approve leaves on Block Dates,不能批准休假因为在封闭的日期里审批休假
Cannot cancel because Employee {0} is already approved for {1},不能取消，因为针对{1}而言员工{0}已经被批准
Cannot cancel because submitted Stock Entry {0} exists,不能取消，因为提交状态的库存项{0}已存在
Cannot carry forward {0},不能转发{0}
Cannot change Fiscal Year Start Date and Fiscal Year End Date once the Fiscal Year is saved.,当财年已经被设置好后不能改变财年的开始以及结束日期
"Cannot change company's default currency, because there are existing transactions. Transactions must be cancelled to change the default currency.",由于存在现有交易因此不能更改公司的默认货币;如果要更改请先取消掉所有的交易
Cannot convert Cost Center to ledger as it has child nodes,不能转换成本中心为分类帐;因为它有子节点
Cannot covert to Group because Master Type or Account Type is selected.,不能转换成组因为主类型或帐户类型已被选择
Cannot deactive or cancle BOM as it is linked with other BOMs,不能取消或禁用此物料明细表因为它是与其他物料明细表相关联
"Cannot declare as lost, because Quotation has been made.",不能声明为失去机会因为已经做出报价
Cannot deduct when category is for 'Valuation' or 'Valuation and Total',当类别为'估值'或'估值及总和'时不能进行抵扣
"Cannot delete Serial No {0} in stock. First remove from stock, then delete.",不能将编号{0}删除;请首先从库存中移除然后再删除
"Cannot directly set amount. For 'Actual' charge type, use the rate field",不能直接设置金额;对于'实际'缴费类型请用比率字段
"Cannot overbill for Item {0} in row {0} more than {1}. To allow overbilling, please set in Stock Settings",第{0}行中的项{0}不能比{1}更多而超支;要允许超支请在库存设置中进行设置
Cannot produce more Item {0} than Sales Order quantity {1},不能比销售订单数量{1}生产出更多的{0}
Cannot refer row number greater than or equal to current row number for this Charge type,对于这种缴费类型可以参考比当前行号大或者等于的行
Cannot return more than {0} for Item {1},商品{1}不能返回超过{0}
Cannot select charge type as 'On Previous Row Amount' or 'On Previous Row Total' for first row,对第一行而言;不能选择缴费类型为'之前行金额'或'之前行值总和'
Cannot select charge type as 'On Previous Row Amount' or 'On Previous Row Total' for valuation. You can select only 'Total' option for previous row amount or previous row total,对于估价而言;不能选择缴费类型为'之前行金额'或'之前行值总和'.你可以选择'总和'为选项
Cannot set as Lost as Sales Order is made.,销售订单已成功创建因此不能设置为失去机会
Cannot set authorization on basis of Discount for {0},不能在{0}折扣的基础上设置授权
Capacity,容量
Capacity Units,容量单位
Capital Account,资本性账户
Capital Equipments,资本设备
Carry Forward,休假累计
Carry Forwarded Leaves,休假已累计到下一期
Case No(s) already in use. Try from Case No {0},案例编号已在使用中;请尝试{0}
Case No. cannot be 0,案例编号不能为0
Cash,现金
Cash In Hand,手头现金
Cash Voucher,现金凭证
Cash or Bank Account is mandatory for making payment entry,做付款项现金或银行帐户是必须的
Cash/Bank Account,现金/银行账户
Casual Leave,事假
Cell Number,手机号码
Change UOM for an Item.,更改商品计量单位
Change the starting / current sequence number of an existing series.,更改现有序列的开始/当前的序列号
Channel Partner,渠道合作伙伴
Charge of type 'Actual' in row {0} cannot be included in Item Rate,第{0}行的'实际'类型不能被包含进商品的比率
Chargeable,可记账的
Charity and Donations,慈善和捐款
Chart Name,图表名称
Chart of Accounts,会计科目表
Chart of Cost Centers,成本中心表
Check how the newsletter looks in an email by sending it to your email.,发送至你的邮箱来检查用户收到简讯的样子
"Check if recurring invoice, uncheck to stop recurring or put proper End Date",是经常性发票的话请勾选;取消勾选或设置适当的结束日期
"Check if you need automatic recurring invoices. After submitting any sales invoice, Recurring section will be visible.",需要自动经常性发票的话请勾选;提交销售发票后;经常性部分将可见
Check if you want to send salary slip in mail to each employee while submitting salary slip,勾选用以设置当提交工资单的时候发送工资单到员工邮箱
Check this if you want to force the user to select a series before saving. There will be no default if you check this.,勾选用以强制用户在保存之前选择一个序列;如果勾选的话将没有默认值
Check this if you want to show in website,勾选此选项如果你想把它显示在网站上
Check this to disallow fractions. (for Nos),勾选用以禁止分数
Check this to pull emails from your mailbox,勾选此选项启用从你邮箱中提取邮件
Check to activate,勾选启用
Check to make Shipping Address,勾选以设置为送货地址
Check to make primary address,勾选以设置为主要地址
Chemical,化学药品
Cheque,支票
Cheque Date,支票日期
Cheque Number,支票号码
Child account exists for this account. You can not delete this account.,此帐户存在子帐户;您无法删除此帐户
City,城市
City/Town,市/镇
Claim Amount,报销金额
Claims for company expense.,公司报销
Class / Percentage,成绩排名
Classic,经典
Clear Table,清除表格
Clearance Date,清算日期
Clearance Date not mentioned,清除日期未指明
Clearance date cannot be before check date in row {0},第{0}行的清除日期不能在检查日期之前
Click on 'Make Sales Invoice' button to create a new Sales Invoice.,单击'创建销售发票'按钮来创建一个新的销售发票
Click on a link to get options to expand get options ,点击链接来得到选项或展开来得到更多选项
Client,客户端
Close Balance Sheet and book Profit or Loss.,关闭资产负债表并记录损益
Closed,已关闭
Closing (Cr),关闭（Cr）
Closing (Dr),关闭（Dr）
Closing Account Head,关闭分类帐
Closing Account {0} must be of type 'Liability',决算账户{0}类型必须是'债务'
Closing Date,截止日期
Closing Fiscal Year,关闭财年
Closing Qty,期末库存
Closing Value,收盘值
CoA Help,COA帮助
Code,编码
Cold Calling,陌生电话
Color,颜色
Column Break,分栏符
Comma separated list of email addresses,逗号分隔的电子邮件地址列表
Comment,评论
Comments,评论
Commercial,商业客户
Commission,佣金
Commission Rate,提成比率
Commission Rate (%),提成比率(%)
Commission on Sales,销售佣金
Commission rate cannot be greater than 100,佣金率不能大于100
Communication,沟通
Communication HTML,沟通的HTML
Communication History,沟通历史记录
Communication log.,沟通日志
Communications,沟通
Company,公司
Company (not Customer or Supplier) master.,公司(不是客户或供应商)基础数据
Company Abbreviation,公司缩写
Company Details,公司详细信息
Company Email,公司邮箱
"Company Email ID not found, hence mail not sent",公司电子邮件没有找到;因此邮件无法发送
Company Info,公司信息
Company Name,公司名称
Company Settings,公司设置
Company is missing in warehouses {0},仓库{0}缺少公司信息
Company is required,公司信息是必须的
Company registration numbers for your reference. Example: VAT Registration Numbers etc.,公司注册号;例如税务注册号
Company registration numbers for your reference. Tax numbers etc.,公司注册号供大家参考例如税务号码等
"Company, Month and Fiscal Year is mandatory",公司以及财年和月是必须的
Compensatory Off,补假
Complete,完成
Complete Setup,完成安装
Completed,已完成
Completed Production Orders,已完成生产订单
Completed Qty,完成数量
Completion Date,完成日期
Completion Status,完成状态
Computer,电脑
Computers,电脑
Confirmation Date,确认日期
Confirmed orders from Customers.,客户确认的订单
Consider Tax or Charge for,税和费用作用于
Considered as Opening Balance,视为期初余额
Considered as an Opening Balance,视为一个期初余额
Consultant,顾问
Consulting,咨询
Consumable,耗材
Consumable Cost,耗材成本
Consumable cost per hour,每小时消耗成本
Consumed Qty,消耗的数量
Consumer Products,消费类产品
Contact,联系人
Contact Control,接触控制
Contact Desc,联系人倒序
Contact Details,联系方式
Contact Email,联系电邮
Contact HTML,联系HTML
Contact Info,联系方式
Contact Mobile No,联系手机号码
Contact Name,联系人姓名
Contact No.,联络电话
Contact Person,联系人
Contact Type,联系类型
Contact master.,联系负责人
Contacts,联系人
Content,内容
Content Type,内容类型
Contra Voucher,银行间转账凭证
Contract,合同
Contract End Date,合同结束日期
Contract End Date must be greater than Date of Joining,合同结束日期必须大于创建的日期
Contribution (%),贡献率(%)
Contribution to Net Total,净收入贡献值
Conversion Factor,转换系数
Conversion Factor is required,转换系数是必需的
Conversion factor cannot be in fractions,转换系数不能为分数
Conversion factor for default Unit of Measure must be 1 in row {0},第1行{0}缺省的计量单位转换系统必须是1
Conversion rate cannot be 0 or 1,转化率不能为0或1
Convert into Recurring Invoice,转换成经常性发票
Convert to Group,转换为组
Convert to Ledger,转换为分类帐
Converted,已转换
Copy From Item Group,从商品组复制
Cosmetics,化妆品
Cost Center,成本中心
Cost Center Details,成本中心明细
Cost Center Name,成本中心名称
